Dataset_Name,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model
dataset_64,genotype,2025-01-20 12:51:41,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:41,,snps_annotated_50,True,
dataset_65,genotype,2025-01-20 12:51:42,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:42,,snps_annotated_50,True,
dataset_66,genotype,2025-01-20 12:51:43,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:42,,snps_annotated_200,False,
dataset_67,genotype,2025-01-20 12:51:49,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:48,,snps_annotated_200,True,
dataset_68,genotype,2025-01-20 12:51:54,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:54,,snps_annotated_200,True,
dataset_69,genotype,2025-01-20 12:51:57,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:56,,snps_annotated_200,True,
dataset_70,genotype,2025-01-20 12:51:59,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:59,,snps_annotated_200,True,
dataset_71,genotype,2025-01-20 12:52:05,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:04,,snps_annotated_200,True,
dataset_72,genotype,2025-01-20 12:52:11,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:10,,snps_annotated_200,True,
dataset_73,genotype,2025-01-20 12:52:13,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:13,,snps_annotated_200,True,
dataset_74,genotype,2025-01-20 12:52:15,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:15,,snps_annotated_200,True,
dataset_75,genotype,2025-01-20 12:52:17,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:16,,snps_annotated_500,False,
dataset_76,genotype,2025-01-20 12:52:28,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:26,,snps_annotated_500,True,
dataset_77,genotype,2025-01-20 12:52:38,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:37,,snps_annotated_500,True,
dataset_78,genotype,2025-01-20 12:52:43,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:42,,snps_annotated_500,True,
dataset_79,genotype,2025-01-20 12:52:49,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:48,,snps_annotated_500,True,
dataset_80,genotype,2025-01-20 12:52:59,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:58,,snps_annotated_500,True,
dataset_81,genotype,2025-01-20 12:53:10,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:53:09,,snps_annotated_500,True,
dataset_82,genotype,2025-01-20 12:53:15,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:53:14,,snps_annotated_500,True,
dataset_83,genotype,2025-01-20 12:53:22,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:53:21,,snps_annotated_500,True,
dataset_84,prs,2025-01-20 12:53:23,125,582,prs,migraine,migraine.gz,0,,2025-01-20 12:53:23,,,,Plink
