Dataset,Model,ML_Parameters,Train AUC,Validation AUC,Test AUC,Train_Val_Gap,Val_Stability,Train_Stability,Composite_Score,Overall_Rank,Train AUC_std,Validation AUC_std,Test AUC_std,Phenotype_first,Dataset_first,Fold_<lambda>,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model,Validation AUC_Norm,Train_Val_Gap_Norm,Train_Stability_Norm,Val_Stability_Norm
31,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.6845390693590869,0.5390524905614419,0.3154609306409131,0.8416522639006181,1.0,0.5152598794113721,1.0,0.0,0.1881391435526153,0.15922556235909405,migraine,31,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:44,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:44,,snps_1000,True,,0.36907813871817385,0.36556899443806834,1.0,0.8416522639006181
33,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.6845390693590869,0.5390524905614419,0.3154609306409131,0.8416522639006181,1.0,0.5152598794113721,1.0,0.0,0.1881391435526153,0.15922556235909405,migraine,33,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:46,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:46,,snps_1000,True,,0.36907813871817385,0.36556899443806834,1.0,0.8416522639006181
34,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.6845390693590869,0.5390524905614419,0.3154609306409131,0.8416522639006181,1.0,0.5152598794113721,1.0,0.0,0.1881391435526153,0.15922556235909405,migraine,34,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:46,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:46,,snps_1000,True,,0.36907813871817385,0.36556899443806834,1.0,0.8416522639006181
37,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.6845390693590869,0.5390524905614419,0.3154609306409131,0.8416522639006181,1.0,0.5152598794113721,1.0,0.0,0.1881391435526153,0.15922556235909405,migraine,37,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:51,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:51,,snps_1000,True,,0.36907813871817385,0.36556899443806834,1.0,0.8416522639006181
38,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.6845390693590869,0.5390524905614419,0.3154609306409131,0.8416522639006181,1.0,0.5152598794113721,1.0,0.0,0.1881391435526153,0.15922556235909405,migraine,38,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:51,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:51,,snps_1000,True,,0.36907813871817385,0.36556899443806834,1.0,0.8416522639006181
39,Naive Bayes,{'var_smoothing': 1e-07},0.7595541313278756,0.5192493415276559,0.5130395201558884,0.24030478980021974,0.8514549690705585,0.9692478011793183,0.47556368977200614,1.0,0.03172790155754233,0.17446023139848726,0.08317786107484905,migraine,39,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:51,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:51,,snps_5000,False,,0.03849868305531179,0.5186169955548419,0.9692478011793183,0.8514549690705585
40,Naive Bayes,{'var_smoothing': 1e-07},0.7595541313278756,0.5192493415276559,0.5130395201558884,0.24030478980021974,0.8514549690705585,0.9692478011793183,0.47556368977200614,1.0,0.03172790155754233,0.17446023139848726,0.08317786107484905,migraine,40,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:54,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:54,,snps_5000,True,,0.03849868305531179,0.5186169955548419,0.9692478011793183,0.8514549690705585
42,Naive Bayes,{'var_smoothing': 1e-07},0.7595541313278756,0.5192493415276559,0.5130395201558884,0.24030478980021974,0.8514549690705585,0.9692478011793183,0.47556368977200614,1.0,0.03172790155754233,0.17446023139848726,0.08317786107484905,migraine,42,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:58,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:58,,snps_5000,True,,0.03849868305531179,0.5186169955548419,0.9692478011793183,0.8514549690705585
43,Naive Bayes,{'var_smoothing': 1e-07},0.7595541313278756,0.5192493415276559,0.5130395201558884,0.24030478980021974,0.8514549690705585,0.9692478011793183,0.47556368977200614,1.0,0.03172790155754233,0.17446023139848726,0.08317786107484905,migraine,43,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:58,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:58,,snps_5000,True,,0.03849868305531179,0.5186169955548419,0.9692478011793183,0.8514549690705585
46,Naive Bayes,{'var_smoothing': 1e-07},0.7595541313278756,0.5192493415276559,0.5130395201558884,0.24030478980021974,0.8514549690705585,0.9692478011793183,0.47556368977200614,1.0,0.03172790155754233,0.17446023139848726,0.08317786107484905,migraine,46,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:05,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:05,,snps_5000,True,,0.03849868305531179,0.5186169955548419,0.9692478011793183,0.8514549690705585
