Dataset,Model,ML_Parameters,Train AUC,Validation AUC,Test AUC,Train_Val_Gap,Val_Stability,Train_Stability,Composite_Score,Overall_Rank,Train AUC_std,Validation AUC_std,Test AUC_std,Phenotype_first,Dataset_first,Fold_<lambda>,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model,Validation AUC_Norm,Train_Val_Gap_Norm,Train_Stability_Norm,Val_Stability_Norm
33,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.6845390693590869,0.5390524905614419,0.3154609306409131,0.8416522639006181,1.0,0.4527551920635285,1.0,0.0,0.1881391435526153,0.159225562359094,migraine,33,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:46,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:46,,snps_1000,True,,0.2113476733977173,0.2107760230193072,1.0,0.8416522639006181
34,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.6845390693590869,0.5390524905614419,0.3154609306409131,0.8416522639006181,1.0,0.4527551920635285,1.0,0.0,0.1881391435526153,0.159225562359094,migraine,34,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:46,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:46,,snps_1000,True,,0.2113476733977173,0.2107760230193072,1.0,0.8416522639006181
37,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.6845390693590869,0.5390524905614419,0.3154609306409131,0.8416522639006181,1.0,0.4527551920635285,1.0,0.0,0.1881391435526153,0.159225562359094,migraine,37,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:51,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:51,,snps_1000,True,,0.2113476733977173,0.2107760230193072,1.0,0.8416522639006181
38,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 0.8}",1.0,0.6845390693590869,0.5390524905614419,0.3154609306409131,0.8416522639006181,1.0,0.4527551920635285,1.0,0.0,0.1881391435526153,0.159225562359094,migraine,38,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:50:51,66,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:50:51,,snps_1000,True,,0.2113476733977173,0.2107760230193072,1.0,0.8416522639006181
57,LightGBM,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6869133063291807,0.6643942054433714,0.5937523850119758,0.0225191008858093,0.8866791157399107,0.9767516444697574,0.578131408964326,1.0,0.0238017060548317,0.1278037141604783,0.093799663779948,migraine,57,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:28,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:27,,snps_annotated_50,False,,0.1609855136084284,0.8662407710035334,0.9767516444697574,0.8866791157399107
58,LightGBM,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6869133063291807,0.6643942054433714,0.5937523850119758,0.0225191008858093,0.8866791157399107,0.9767516444697574,0.578131408964326,1.0,0.0238017060548317,0.1278037141604783,0.093799663779948,migraine,58,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:30,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:30,,snps_annotated_50,True,,0.1609855136084284,0.8662407710035334,0.9767516444697574,0.8866791157399107
60,LightGBM,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6869133063291807,0.6643942054433714,0.5937523850119758,0.0225191008858093,0.8866791157399107,0.9767516444697574,0.578131408964326,1.0,0.0238017060548317,0.1278037141604783,0.093799663779948,migraine,60,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:34,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:34,,snps_annotated_50,True,,0.1609855136084284,0.8662407710035334,0.9767516444697574,0.8866791157399107
61,LightGBM,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6869133063291807,0.6643942054433714,0.5937523850119758,0.0225191008858093,0.8866791157399107,0.9767516444697574,0.578131408964326,1.0,0.0238017060548317,0.1278037141604783,0.093799663779948,migraine,61,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:35,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:35,,snps_annotated_50,True,,0.1609855136084284,0.8662407710035334,0.9767516444697574,0.8866791157399107
64,LightGBM,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6869133063291807,0.6643942054433714,0.5937523850119758,0.0225191008858093,0.8866791157399107,0.9767516444697574,0.578131408964326,1.0,0.0238017060548317,0.1278037141604783,0.093799663779948,migraine,64,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:41,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:41,,snps_annotated_50,True,,0.1609855136084284,0.8662407710035334,0.9767516444697574,0.8866791157399107
65,LightGBM,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6869133063291807,0.6643942054433714,0.5937523850119758,0.0225191008858093,0.8866791157399107,0.9767516444697574,0.578131408964326,1.0,0.0238017060548317,0.1278037141604783,0.093799663779948,migraine,65,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:42,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:42,,snps_annotated_50,True,,0.1609855136084284,0.8662407710035334,0.9767516444697574,0.8866791157399107
66,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.7476566165485122,0.6015100965759438,0.5862075264888564,0.1461465199725684,0.8830332012749603,0.9863424412176712,0.4992587389206807,1.0,0.013846670498603,0.1324602501425294,0.1152881124009738,migraine,66,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:43,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:42,,snps_annotated_200,False,,0.0037752414398595,0.6231428106709124,0.9863424412176712,0.8830332012749603
67,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.7476515615980461,0.6015100965759438,0.5862075264888564,0.1461414650221023,0.8830332012749603,0.986365485249022,0.4992398082427383,1.0,0.0138229844361757,0.1324602501425294,0.1152881124009738,migraine,67,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:49,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:48,,snps_annotated_200,True,,0.0037752414398595,0.6230251132498497,0.986365485249022,0.8830332012749603
69,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.7476473914562612,0.6015100965759438,0.5862075264888564,0.1461372948803174,0.8830332012749603,0.9863691747870996,0.4992688432467732,1.0,0.01381919220645,0.1324602501425294,0.1152881124009738,migraine,69,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:57,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:56,,snps_annotated_200,True,,0.0037752414398595,0.6231665987319464,0.9863691747870996,0.8830332012749603
70,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.7476432213144765,0.6015100965759438,0.5862075264888564,0.1461331247385326,0.8830332012749603,0.9863668597185458,0.4992705308801149,1.0,0.0138215717074521,0.1324602501425294,0.1152881124009738,migraine,70,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:59,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:59,,snps_annotated_200,True,,0.0037752414398595,0.6231773519672092,0.9863668597185458,0.8830332012749603
73,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.7476566165485122,0.6015100965759438,0.5862075264888564,0.1461465199725684,0.8830332012749603,0.9863424412176712,0.4992587389206807,1.0,0.013846670498603,0.1324602501425294,0.1152881124009738,migraine,73,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:52:13,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:13,,snps_annotated_200,True,,0.0037752414398595,0.6231428106709124,0.9863424412176712,0.8830332012749603
74,Logistic Regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.7476432213144765,0.6015100965759438,0.5862075264888564,0.1461331247385326,0.8830332012749603,0.986360847648953,0.4992693284661964,1.0,0.0138277511557323,0.1324602501425294,0.1152881124009738,migraine,74,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:52:15,1347,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:15,,snps_annotated_200,True,,0.0037752414398595,0.6231773519672092,0.986360847648953,0.8830332012749603
75,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 1.0}",1.0,0.7595346795434592,0.5314291803677993,0.2404653204565408,0.9275350212179408,1.0,0.5448646106497451,1.0,0.0,0.0781264072238544,0.1404608813561702,migraine,75,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:52:17,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:16,,snps_annotated_500,False,,0.3988366988586481,0.3979513331721365,1.0,0.9275350212179408
76,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 1.0}",1.0,0.7595346795434592,0.5314291803677993,0.2404653204565408,0.9275350212179408,1.0,0.5448646106497451,1.0,0.0,0.0781264072238544,0.1404608813561702,migraine,76,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:52:28,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:26,,snps_annotated_500,True,,0.3988366988586481,0.3979513331721365,1.0,0.9275350212179408
78,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 1.0}",1.0,0.7595346795434592,0.5314291803677993,0.2404653204565408,0.9275350212179408,1.0,0.5448646106497451,1.0,0.0,0.0781264072238544,0.1404608813561702,migraine,78,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:52:43,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:42,,snps_annotated_500,True,,0.3988366988586481,0.3979513331721365,1.0,0.9275350212179408
79,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 1.0}",1.0,0.7595346795434592,0.5314291803677993,0.2404653204565408,0.9275350212179408,1.0,0.5448646106497451,1.0,0.0,0.0781264072238544,0.1404608813561702,migraine,79,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:52:49,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:52:48,,snps_annotated_500,True,,0.3988366988586481,0.3979513331721365,1.0,0.9275350212179408
82,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 1.0}",1.0,0.7595346795434592,0.5314291803677993,0.2404653204565408,0.9275350212179408,1.0,0.5448646106497451,1.0,0.0,0.0781264072238544,0.1404608813561702,migraine,82,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:53:15,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:53:14,,snps_annotated_500,True,,0.3988366988586481,0.3979513331721365,1.0,0.9275350212179408
83,Gradient Boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 7, 'subsample': 1.0}",1.0,0.7595346795434592,0.5314291803677993,0.2404653204565408,0.9275350212179408,1.0,0.5448646106497451,1.0,0.0,0.0781264072238544,0.1404608813561702,migraine,83,"Folds: ['0', '1', '2', '3', '4']",genotype,2025-01-20 12:53:22,2504,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:53:21,,snps_annotated_500,True,,0.3988366988586481,0.3979513331721365,1.0,0.9275350212179408
84,KNN,"{'n_neighbors': 7, 'metric': 'euclidean'}",1.0,0.6841220368744513,0.6144787480209475,0.3158779631255487,0.8739937576806469,1.0,0.454798104695546,1.0,0.0,0.1441729316851655,0.1184039015755783,migraine,84,"Folds: ['0', '1', '2', '3', '4']",prs,2025-01-20 12:53:23,125,582,prs,migraine,migraine.gz,0,,2025-01-20 12:53:23,,,,Plink,0.2103050921861282,0.1896916736109546,1.0,0.8739937576806469
86,Naive Bayes,{'var_smoothing': 1e-07},0.6649399728487679,0.6427041264266901,0.5927954370153858,0.0222358464220778,0.8544965653010683,0.9720149385961968,0.5754411630283628,1.0,0.0287907729527488,0.1702797186173192,0.0532996641603139,migraine,86,"Folds: ['0', '1', '2', '3', '4']",prs,2025-01-20 12:53:24,116,582,prs,migraine,migraine.gz,0,,2025-01-20 12:53:24,,,,AnnoPred,0.1067603160667252,0.9439339951778236,0.9720149385961968,0.8544965653010683
87,Naive Bayes,{'var_smoothing': 1e-07},0.6700312943942093,0.6383143107989465,0.5754016461657127,0.0317169835952627,0.8612477759026647,0.972994618603685,0.5701383819861743,1.0,0.0277549134188117,0.1611060463429476,0.0283433068956725,migraine,87,"Folds: ['0', '1', '2', '3', '4']",prs,2025-01-20 12:53:25,125,582,prs,migraine,migraine.gz,0,,2025-01-20 12:53:25,,,,LDAK-GWAS,0.0957857769973663,0.920663738427155,0.972994618603685,0.8612477759026647
173,Naive Bayes,{'var_smoothing': 1e-07},0.6649399728487679,0.6427041264266901,0.5927954370153858,0.0222358464220778,0.8544965653010683,0.9720149385961968,0.5755237368174677,1.0,0.0287907729527488,0.1702797186173192,0.0532996641603139,migraine,173,"Folds: ['0', '1', '2', '3', '4']",prs,2025-01-20 12:56:39,116,582,prs,migraine,migraine_5.gz,0,,2025-01-20 12:56:39,,,,AnnoPred,0.1067603160667252,0.9443468641233482,0.9720149385961968,0.8544965653010683
174,Naive Bayes,{'var_smoothing': 1e-07},0.6700131023005236,0.6383143107989465,0.5754016461657127,0.031698791501577,0.8612477759026647,0.9729976473537636,0.5700580786072257,1.0,0.0277517142201463,0.1611060463429476,0.0283433068956725,migraine,174,"Folds: ['0', '1', '2', '3', '4']",prs,2025-01-20 12:56:40,125,582,prs,migraine,migraine_5.gz,0,,2025-01-20 12:56:40,,,,LDAK-GWAS,0.0957857769973663,0.9202591927823336,0.9729976473537636,0.8612477759026647
