Combination_Size,Datasets,Train_AUC_Mean,Train_AUC_Std,Validation_AUC_Mean,Validation_AUC_Std,Test_AUC_Mean,Test_AUC_Std
2,"[171, 192]",0.8252382516860962,0.25712353207058053,0.7233450412750244,0.14829883767613233,0.5196211338043213,0.08883080608023666
2,"[651, 172]",0.7627912402153015,0.31739669218196476,0.7033933281898499,0.24162080494237548,0.5218873023986816,0.07310916350999923
2,"[651, 652]",0.8465358734130859,0.14455897613770857,0.721931540966034,0.14019989664351443,0.4847296833992004,0.1018927610615464
2,"[651, 782]",0.771783173084259,0.184182707299641,0.7211281955242157,0.1647655720091127,0.503007310628891,0.12203231450896504
2,"[651, 779]",0.8602646350860595,0.05327927909569403,0.6712642908096313,0.1538105987737665,0.5076477468013764,0.14285713700427424
2,"[651, 194]",0.8561749935150147,0.1332853213193416,0.7530333757400512,0.1247962502822147,0.550597631931305,0.17072982087848493
2,"[651, 584]",0.8434211492538453,0.12418808219942969,0.7115759551525116,0.16443392686206898,0.5327616035938263,0.06195234274098592
2,"[651, 390]",0.6535383045673371,0.3321096044055051,0.641321337223053,0.27364292279954006,0.4705955505371094,0.1490191286126063
2,"[651, 195]",0.8268335580825805,0.11896800535099494,0.7387445211410523,0.18141261225380748,0.5066562235355377,0.13188167627412228
2,"[651, 585]",0.7376966774463654,0.3525505116388789,0.6890561699867248,0.21788438261587387,0.501900851726532,0.08434735800657538
2,"[651, 388]",0.8018049240112305,0.09119846105005562,0.6304038405418396,0.14225395147111933,0.5260570585727692,0.14165752235854204
2,"[651, 387]",0.8467021942138672,0.12862436957164214,0.7715935111045837,0.15511762810864724,0.5052417993545533,0.09416844978263703
2,"[651, 777]",0.8336066722869873,0.16178205320666122,0.7740079164505005,0.1623074382495868,0.4306413233280182,0.12360918331502421
2,"[651, 192]",0.8219588458538055,0.2252657288673832,0.7141966819763184,0.20183715391173473,0.4995744705200195,0.13240355182796892
2,"[172, 652]",0.9106303334236145,0.11339746673227259,0.6635250210762024,0.16152347216903076,0.5856650292873382,0.13645928511859073
2,"[172, 782]",0.9106051206588746,0.11066133871156345,0.7101317286491394,0.2758040587894834,0.4873726963996887,0.11336481679762837
2,"[172, 779]",0.849508261680603,0.13752423950205953,0.6649517118930817,0.17155047649903785,0.5418240427970886,0.13101461981340765
2,"[172, 194]",0.9649821519851685,0.027969480984282064,0.6303863167762757,0.27704839659978026,0.60397669672966,0.11891216185967969
2,"[172, 584]",0.8710780143737793,0.12071364096452271,0.7247849106788635,0.23539123734331707,0.5947965323925019,0.10648389897409252
2,"[172, 390]",0.7362981423735618,0.37895206474092674,0.6873748898506165,0.09942886958177116,0.5126622915267944,0.15675787862145543
2,"[172, 195]",0.8772939920425415,0.10908053310202631,0.8019929647445678,0.1378757587773711,0.5381627917289734,0.12488925890693532
2,"[172, 585]",0.9201119661331176,0.1702323039938415,0.7052370548248291,0.09703608059980248,0.5455399334430695,0.1570173596150222
2,"[172, 388]",0.8232853829860687,0.3413331295058784,0.6633757770061492,0.2278572779072864,0.5525164484977723,0.15642162564677523
2,"[172, 387]",0.7965277254581451,0.268642797576156,0.7374451398849488,0.15289468667249,0.5942327916622162,0.06751670320898605
2,"[172, 777]",0.8791537880897522,0.15116736014594398,0.7384153008460999,0.13144598010833677,0.4776418417692184,0.20415426501554104
2,"[172, 192]",0.9332122564315796,0.045144563241545435,0.6229499638080597,0.2391203327203144,0.5651879787445069,0.12074691790162297
2,"[652, 782]",0.7547119587659836,0.29842532023938373,0.6854258060455323,0.18364227839404418,0.4931246697902679,0.061582905857740865
2,"[652, 779]",0.8494009971618652,0.08319002575464364,0.8184723377227783,0.07086975834319033,0.4246870160102844,0.15846515945121123
2,"[652, 194]",0.8452311754226685,0.08044696456568061,0.7915364503860474,0.14807715684957307,0.5046080529689789,0.10537497692350219
2,"[652, 584]",0.6293150126934052,0.29694711951845343,0.6095873475074768,0.2550964092177616,0.44235019087791444,0.12524882602173687
2,"[652, 390]",0.9072282195091248,0.058321647479788984,0.7499341487884521,0.10362031246013668,0.5285923421382904,0.1358163918034164
2,"[652, 195]",0.9024749636650086,0.04898781217687261,0.7452063083648681,0.05435762322059096,0.5125100433826446,0.09888868631686558
2,"[652, 585]",0.8333753228187561,0.14212677709998925,0.7126207113265991,0.1822807246393104,0.5079555451869965,0.1379289998697451
